Title,Year,Director,Origin/Ethnicity,Cast,Genre,Color,Duration,Actor_2,Gross,Genres,Actor_1,Actor_3,Plot_keywords,Language,Country,Budget,Aspect_ratio
Switchback,1997,Jeb Stuart,American,"Dennis Quaid, Danny Glover, Jared Leto",thriller,Color,118.0,Claudia Stedelin,6482195.0,Crime|Mystery|Thriller,Gregory Scott Cummins,Ted Markland,deputy|fbi agent|knife held to throat|serial killer|sheriff,English,USA,37000000.0,2.35
Titanic,1997,James Cameron,American,"Leonardo DiCaprio, Kate Winslet, Billy Zane, Frances Fisher, Victor Garber, Kathy Bates, Bill Paxton, Gloria Stuart, David Warner, Suzy Amis","historical epic, disaster",Color,194.0,Kate Winslet,658672302.0,Drama|Romance,Leonardo DiCaprio,Gloria Stuart,artist|love|ship|titanic|wet,English,USA,200000000.0,2.35
Turbulence,1997,Robert Butler,American,"Ray Liotta, Lauren Holly, Hector Elizondo, Rachel Ticotin, Catherine Hicks, Brendan Gleeson",action,Color,100.0,Lauren Holly,11466088.0,Action|Thriller,Hector Elizondo,Jeffrey DeMunn,airplane|christmas|marshal|pilot|u.s. marshal,English,USA,71000000.0,2.35
Volcano,1997,Mick Jackson,American,"Tommy Lee Jones, Anne Heche, Gaby Hoffmann, Don Cheadle, Keith David",disaster,Color,104.0,Anne Heche,47474112.0,Action|Drama|Sci-Fi|Thriller,Don Cheadle,Gaby Hoffmann,earthquake|fire|lava|rescue|volcano,English,USA,90000000.0,1.85
Wag the Dog,1997,Barry Levinson,American,"Dustin Hoffman, Robert De Niro, Woody Harrelson, Anne Heche, Denis Leary, Willie Nelson",comedy,Color,97.0,Kirsten Dunst,43022524.0,Comedy|Drama,Robert De Niro,John Michael Higgins,death|election|hollywood|president|scandal,English,USA,15000000.0,1.85
54,1998,Mark Christopher,American,"Ryan Phillippe, Salma Hayek, Mike Myers, Neve Campbell",drama,Color,121.0,Ellen Albertini Dow,16574731.0,Drama|Music,Salma Hayek,Sela Ward,angel dust the drug|disco|new york city|quaalude|reference to princess grace of monaco,English,USA,13000000.0,1.85
American History X,1998,Tony Kaye,American,"Edward Norton, Edward Furlong, Beverly D'Angelo, Elliott Gould, Stacy Keach, Fairuza Balk, Jennifer Lien, Avery Brooks",drama, Black and White,101.0,Beverly D'Angelo,6712241.0,Crime|Drama,Ethan Suplee,Stacy Keach,curb stomping|neo nazi|prison|son dislikes mother's boyfriend|white supremacist,English,USA,7500000.0,1.85
Armageddon,1998,Michael Bay,American,"Bruce Willis, Ben Affleck, Liv Tyler, Billy Bob Thornton, Will Patton, Steve Buscemi, Michael Clarke Duncan",drama,Color,153.0,Steve Buscemi,201573391.0,Action|Adventure|Sci-Fi|Thriller,Bruce Willis,Will Patton,asteroid|astronaut|bomb|meteorite|outer space,English,USA,140000000.0,2.35
Babe: Pig in the City,1998,George Miller,American,"James Cromwell, Magda Szubanski, Mickey Rooney",family,Color,97.0,Elizabeth Daily,18318000.0,Adventure|Comedy|Drama|Family|Fantasy,Adam Goldberg,Glenne Headly,animal|farm|farmer|hotel|pig,English,Australia,80000000.0,1.85
Beloved,1998,Jonathan Demme,American,"Oprah Winfrey, Danny Glover, Thandie Newton",drama,Color,172.0,Kimberly Elise,22843047.0,Drama|History|Horror,Oprah Winfrey,Hill Harper,farm|freedom|ohio|slavery|spirit,English,USA,55000000.0,1.85
The Big Hit,1998,Kirk Wong,American,"Mark Wahlberg, Lou Diamond Phillips, Bokeem Woodbine, Antonio Sabàto, Jr.",action,Color,91.0,Elliott Gould,27052167.0,Action|Comedy|Crime|Thriller,Bokeem Woodbine,Antonio Sabato Jr.,hitman|kidnapping|kosher|vhs|video store,English,USA,13000000.0,1.85
The Big Lebowski,1998,Joel Coen,American,"Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi, John Turturro, Tara Reid, Ben Gazzara",comedy,Color,117.0,Jeff Bridges,17439163.0,Comedy|Crime,Philip Seymour Hoffman,Steve Buscemi,death|drug|nihilism|rug|white russian,English,USA,15000000.0,1.85
Blade,1998,Stephen Norrington,American,"Wesley Snipes, Stephen Dorff, Kris Kristofferson",horror,Color,110.0,Traci Lords,70001065.0,Action|Horror,Sanaa Lathan,Udo Kier,1990s|blade|blood|vampire|vampire hunter,English,USA,45000000.0,2.35
Bride of Chucky,1998,Ronny Yu,American,"Jennifer Tilly, Katherine Heigl, Nick Stabile, John Ritter",horror,Color,89.0,Park Bench,32368960.0,Comedy|Fantasy|Horror|Romance,Alexis Arquette,Vince Corazza,blood|doll|gore|murder|serial killer,English,Canada,25000000.0,1.85
Broken Vessels,1998,Scott Ziehl,American,"Todd Field, Jason London, Roxana Zal",drama,Color,90.0,Jason London,13493.0,Drama,William Smith,Brent David Fraser,independent film|katana sword|los angeles storm drain,English,USA,600000.0,1.85
Buffalo '66,1998,Vincent Gallo,American,"Vincent Gallo, Christina Ricci, Ben Gazzara",drama,Color,110.0,Vincent Gallo,2365931.0,Comedy|Crime|Drama|Romance,Anjelica Huston,Jan-Michael Vincent,shower|stripper|tap dancing|underwear|undressing,English,USA,1500000.0,1.85
A Bug's Life,1998,John Lasseter,American,"Voices of Dave Foley, Kevin Spacey, Julia Louis-Dreyfus",comedy,Color,95.0,Madeline Kahn,162792677.0,Adventure|Animation|Comedy|Family|Fantasy,Kevin Spacey,John Ratzenberger,ant|circus|grasshopper|misunderstanding|overhearing,English,USA,120000000.0,2.35
Bulworth,1998,Warren Beatty,American,"Warren Beatty, Halle Berry, Oliver Platt, Don Cheadle, Paul Sorvino, Isaiah Washington",comedy,Color,108.0,Kirk Baltz,26525834.0,Comedy|Drama|Romance,Warren Beatty,Graham Beckel,hip hop|liberal|politics|senator|truth,English,USA,30000000.0,1.85
Celebrity,1998,Woody Allen,American,"Kenneth Branagh, Judy Davis, Bebe Neuwirth, Charlize Theron, Leonardo DiCaprio",comedy, Black and White,113.0,Aleksa Palladino,5032496.0,Comedy|Drama,Melanie Griffith,Greg Mottola,celebrity|journalist|lesbian kiss|strong female character|tv producer,English,USA,12000000.0,1.66
Chairman of the Board,1998,Alex Zamm,American,"Carrot Top, Courtney Thorne-Smith",comedy,Color,95.0,Raquel Welch,306715.0,Comedy,Taylor Negron,Larry Miller,box office flop|company|invention|roommate|surfer,English,USA,10000000.0,1.85
City of Angels,1998,Brad Silberling,American,"Nicolas Cage, Meg Ryan, Andre Braugher, Dennis Franz",fantasy,Color,114.0,Andre Braugher,78745923.0,Drama|Fantasy|Romance,Nicolas Cage,Colm Feore,angel|doctor|fall|heart surgeon|hospital,English,Germany,55000000.0,2.35
